t,CCc,CCn,Clkc,Clkm,Perc,Perm,PTc,PTn,Timc,Timm
0,0.3,0.4,0.2,0.1,0.6,0.5,0.9,1,0.8,0.7
5,0.190827896,0.090280027,0.471678897,2.041675626,0.033613809,0.090645326,0.006426354,0.047808811,0.064962076,0.091003427
10,0.359892077,0.231979967,0.737721455,2.432793876,0.067135839,0.270470643,0.001365426,5.36E-04,0.067153636,0.270471136
15,0.527924922,0.415072472,0.974570442,2.733528144,0.174998222,0.562306144,0.009541058,0.003780373,0.174998419,0.562306168
20,0.687545896,0.659003205,1.168286993,2.834436926,0.398416535,1.049822475,0.054876858,0.023062481,0.39841657,1.049822481
30,0.573046155,0.759556716,0.984499721,2.537172189,0.957656749,2.162326455,0.489392789,0.319445853,0.957656768,2.162326458
40,1.282520419,1.426245268,1.885928797,3.292094146,1.246624118,2.503778647,1.016044173,1.017364396,1.246624135,2.503778648
45,0.816416912,1.757680266,1.143288515,1.702684443,1.254661616,2.099861828,1.122737959,1.42628825,1.254661632,2.099861829
50,0.193433465,0.716989712,0.384759148,1.655344832,0.78909252,0.965374997,0.465079563,1.130050966,0.789092533,0.965374997
60,1.02193733,1.019007025,1.570944496,3.017672495,0.546710604,1.437835733,0.110338764,0.046839439,0.546710605,1.437835733
70,0.336755977,0.42056347,0.70679492,2.642190267,1.252952006,2.290588194,1.058786451,0.932916999,1.252952007,2.290588194
75,1.321944929,0.892537119,2.131600177,4.764614744,0.714548801,1.0660061,0.349743296,0.777820223,0.714548802,1.0660061
80,2.038607048,2.25998079,2.666660887,3.058612275,0.978220989,2.482312314,0.479399554,0.32020785,0.978220989,2.482312314
90,0.074210315,0.718810006,0.142588326,1.013040345,1.520648399,1.35879748,2.002664959,2.612365579,1.520648399,1.35879748
100,2.402588767,1.883342378,3.238627806,4.337946579,0.530761995,1.526902298,0.102146904,0.085479357,0.530761995,1.526902298